t_s,gps_course_deg,yaw_dev_deg,mag_tc_dev_deg,gps_cog_field_deg,gps_spd_mps,yaw_minus_course_deg,mag_minus_course_deg
3848.9,342.4,250.6,251.8,2.9,5.9,-91.8,-90.6
3857.9,260.1,44.7,281.5,290.5,3.5,144.6,21.4
3866.9,265.2,35.9,280.8,264.9,7.8,130.6,15.6
3875.9,262.4,43.2,283.4,264.6,5.5,140.7,20.9
3884.9,314.7,56.7,279.3,269.7,0.0,102.0,-35.4
3894.8,355.6,242.2,256.2,347.9,2.6,-113.4,-99.4
3903.9,13.1,257.3,251.0,357.4,7.9,-115.7,-122.0
3912.9,83.2,318.8,224.8,80.5,5.6,-124.4,141.7
3921.9,91.3,341.7,226.0,85.7,0.0,-109.5,134.8
3930.9,83.4,321.8,227.3,85.0,7.5,-121.6,143.9
3939.9,84.3,307.6,227.6,84.2,10.0,-136.8,143.3
3948.9,97.2,307.5,227.1,90.8,8.8,-149.7,130.0
3957.9,19.9,303.8,228.7,72.1,1.1,-76.0,-151.2
3966.9,15.4,253.3,242.7,15.1,4.8,-122.1,-132.7
3975.9,313.9,252.9,243.8,12.0,5.1,-61.0,-70.2
3984.9,320.2,83.7,282.1,295.7,5.0,123.5,-38.1
3993.9,7.8,219.4,254.8,344.4,9.6,-148.4,-113.0
4002.9,305.7,257.5,249.4,1.7,6.0,-48.2,-56.2
4011.9,283.5,106.4,276.8,290.9,8.6,-177.1,-6.7
4020.8,269.5,64.0,282.3,271.0,7.8,154.5,12.8
4029.9,263.9,63.4,281.2,264.6,6.6,159.5,17.3
4038.9,347.0,199.4,266.1,318.3,3.1,-147.6,-80.8
4047.9,3.7,231.6,255.9,353.3,5.3,-132.2,-107.8
4056.9,14.4,267.6,240.8,8.8,2.0,-106.8,-133.6
4065.9,74.9,255.4,245.5,10.9,1.9,-179.6,170.6
4074.9,104.4,324.3,226.1,102.4,6.1,-140.1,121.7
4083.9,106.7,319.9,226.2,106.5,10.8,-146.7,119.5
4092.9,122.6,337.3,225.0,115.4,10.8,-145.3,102.4
4101.9,193.4,343.1,229.7,125.7,2.9,149.6,36.3
4110.9,220.4,44.2,270.3,221.6,7.7,-176.2,49.9
4119.9,172.1,38.9,262.4,203.7,9.4,-133.2,90.3
4128.9,113.2,337.8,236.1,138.2,9.9,-135.4,122.9
4137.9,91.2,306.7,224.9,101.7,9.6,-144.5,133.8
4146.9,82.9,301.6,225.8,83.5,10.2,-141.3,142.9
4155.9,91.0,309.7,225.9,88.0,8.8,-141.3,134.9
4164.9,95.2,326.8,223.1,93.3,8.5,-128.4,128.0
4173.9,98.0,336.2,224.6,99.6,5.8,-121.7,126.6
4182.9,86.9,329.1,226.3,95.1,8.4,-117.8,139.4
4191.9,75.2,322.8,225.9,77.8,3.0,-112.4,150.7
4200.8,158.5,321.0,226.9,81.0,1.6,162.5,68.4
4209.9,167.0,19.8,240.1,167.5,10.4,-147.2,73.1
4218.9,166.1,23.8,239.2,166.3,15.0,-142.4,73.1
4227.8,163.0,12.3,238.7,165.3,13.7,-150.7,75.6
4236.9,159.4,30.0,240.9,163.6,6.2,-129.4,81.5
4245.9,160.3,40.5,242.6,164.1,2.1,-119.8,82.3
4315.9,162.0,5.8,239.6,162.6,2.3,-156.2,77.6
4324.9,164.4,5.8,236.6,156.5,5.5,-158.6,72.3
4333.9,166.7,352.9,239.0,161.7,10.1,-173.8,72.3
4342.9,81.4,334.3,229.0,129.4,5.3,-107.1,147.6
4351.9,76.7,267.4,227.2,75.9,10.4,-169.3,150.5
4360.9,95.2,293.4,223.8,79.7,9.6,-161.8,128.6
4369.9,99.6,318.8,222.7,108.7,9.8,-140.9,123.0
4378.9,90.9,298.1,226.2,90.5,9.8,-152.9,135.3
4387.9,84.5,305.6,226.4,90.0,11.1,-138.9,141.9
4396.9,355.9,234.9,239.3,24.1,4.2,-121.1,-116.6
4405.9,7.9,256.3,245.7,0.2,0.0,-111.6,-122.2
4415.9,0.2,246.0,243.8,3.5,5.3,-114.2,-116.4
4424.9,0.8,241.7,246.7,359.6,11.2,-119.1,-114.1
4433.9,349.7,240.6,248.6,359.4,9.1,-109.2,-101.1
4442.9,302.0,222.9,260.6,334.8,3.7,-79.1,-41.5
4451.9,245.6,26.7,278.8,265.9,5.0,141.1,33.2
4460.9,198.8,19.3,274.7,239.0,8.1,-179.6,75.8
4469.9,170.8,319.1,235.2,152.3,6.9,148.3,64.4
4478.9,179.8,339.6,249.5,180.0,9.6,159.8,69.7
4487.9,178.8,350.5,247.3,179.6,11.0,171.7,68.5
4496.9,183.1,7.9,248.9,180.1,1.2,-175.2,65.7
4505.9,181.1,16.5,248.8,182.6,9.7,-164.6,67.7
4514.9,180.0,2.8,249.1,180.6,11.0,-177.2,69.1
4523.9,195.6,7.1,243.4,175.3,7.2,171.5,47.8
4532.9,266.8,92.3,274.7,250.6,5.0,-174.5,7.9
4541.9,263.0,81.8,276.5,262.4,12.6,178.9,13.5
4550.9,261.7,63.2,277.1,262.3,13.7,161.5,15.4
4559.9,272.4,43.6,277.7,255.0,7.0,131.2,5.3
4568.9,133.3,262.4,239.9,22.2,6.2,129.0,106.6
4577.9,350.3,43.6,277.8,257.8,6.1,53.4,-72.5
4586.9,349.4,241.8,253.8,350.9,8.1,-107.6,-95.6
4595.9,348.1,234.0,254.3,349.7,10.5,-114.1,-93.8
4604.8,347.9,224.8,256.2,348.2,10.9,-123.1,-91.7
4613.9,348.9,238.7,255.5,347.8,5.3,-110.2,-93.4
4622.9,348.6,259.3,256.3,347.2,0.0,-89.3,-92.4
4675.9,349.5,239.2,253.3,352.0,5.5,-110.3,-96.2
4684.9,341.3,232.9,254.5,348.4,7.6,-108.4,-86.8
4693.9,344.3,231.6,256.3,343.9,11.8,-112.7,-88.0
4702.9,344.3,215.0,260.0,343.6,12.8,-129.3,-84.4
4711.9,341.7,214.5,259.5,344.8,14.1,-127.3,-82.3
4720.9,259.6,42.5,275.9,288.5,4.1,142.8,16.3
4729.9,8.4,33.8,273.9,279.0,4.1,25.3,-94.6
4754.9,86.6,286.8,228.6,71.2,2.0,-159.7,142.0
4763.9,23.6,283.2,228.6,84.5,5.0,-100.4,-155.0
4772.9,346.1,210.7,260.6,351.4,8.2,-135.4,-85.4
4781.9,274.2,217.2,257.4,348.7,6.3,-57.1,-16.8
4790.9,270.7,42.6,276.6,265.0,10.5,131.9,5.8
4799.9,278.9,66.3,277.2,274.6,6.6,147.4,-1.7
4808.9,345.0,86.0,277.6,279.7,0.0,101.1,-67.4
4859.9,63.8,269.6,235.3,30.1,1.7,-154.2,171.5
4868.9,101.2,324.0,223.2,94.4,3.5,-137.2,122.0
4877.9,82.1,308.2,225.7,93.0,11.4,-134.0,143.6
4886.9,152.0,297.5,227.6,81.7,1.0,145.5,75.5
4895.9,167.0,25.2,237.5,168.5,8.3,-141.9,70.4
4904.9,166.1,28.2,239.1,166.8,14.9,-137.9,73.0
4913.9,162.9,13.5,239.9,165.0,15.2,-149.4,77.0
4922.9,163.3,23.0,237.9,163.0,10.3,-140.3,74.5
4931.9,154.3,53.1,238.8,161.8,0.0,-101.1,84.5
4957.9,91.3,4.6,237.6,157.3,5.9,-86.7,146.3
4966.9,76.4,300.7,225.4,77.4,12.8,-135.7,149.0
4975.9,74.3,290.5,226.3,74.5,14.4,-143.8,152.0
4984.9,65.7,290.0,226.4,69.9,14.3,-135.6,160.7
4993.9,65.0,285.3,228.2,60.5,13.9,-139.8,163.1
5002.8,75.8,301.8,226.0,70.8,14.5,-134.0,150.2
5011.9,94.5,317.2,224.8,85.8,12.8,-137.3,130.3
5020.8,96.9,320.4,227.1,95.9,11.2,-136.5,130.2
5029.9,101.0,338.4,224.4,99.5,0.0,-122.6,123.4
5059.9,106.4,313.6,225.7,101.4,6.9,-152.8,119.3
5068.9,100.8,326.5,222.4,103.9,5.4,-134.3,121.7
5077.9,96.7,340.8,223.2,99.8,0.0,-115.9,126.4
5092.9,101.8,321.8,223.8,97.0,6.1,-140.0,122.0
5101.8,130.8,316.0,227.6,121.7,4.5,-174.8,96.8
5126.9,205.4,338.4,231.7,141.6,4.6,133.0,26.3
5135.8,241.5,32.5,270.3,223.0,6.7,151.1,28.9
5144.9,303.9,54.9,276.3,262.8,3.3,111.0,-27.6
5153.9,209.8,55.2,281.1,279.6,1.8,-154.7,71.3
